Material,Value
C=CCCCC=O,405
CCC=CCCCC=O,275
CCC=CCCCC=O,270
C=CCCCC=O,410
C=CCCCC=O,415
CCC=CCCCC=O,280
CCC=CCCCC=O,275
C=CCCCC=O,420
C=CCCCC=O,425
CCC=CCCCC=O,285
CCC=CCCCC=O,280
C=CCCCC=O,430
C=CCCCC=O,435
CCC=CCCCC=O,290
CCC=CCCCC=O,285
C=CCCCC=O,440
C=CCCCC=O,445
CCC=CCCCC=O,295
CCC=CCCCC=O,290
C=CCCCC=O,450
C=CCCCC=O,455
CCC=CCCCC=O,300
CCC=CCCCC=O,295
C=CCCCC=O,460
C=CCCCC=O,465
CCC=CCCCC=O,305
CCC=CCCCC=O,300
C=CCCCC=O,470
C=CCCCC=O,475
CCC=CCCCC=O,310
CCC=CCCCC=O,305
C=CCCCC=O,480
C=CCCCC=O,485
CCC=CCCCC=O,315
CCC=CCCCC=O,310
C=CCCCC=O,490
C=CCCCC=O,495
CCC=CCCCC=O,320
CCC=CCCCC=O,315
C=CCCCC=O,500
C=CCCCC=O,505
CCC=CCCCC=O,325
CCC=CCCCC=O,320
C=CCCCC=O,510
C=CCCCC=O,515
CCC=CCCCC=O,330
CCC=CCCCC=O,325
C=CCCCC=O,520
C=CCCCC=O,525
CCC=CCCCC=O,335
CCC=CCCCC=O,330
C=CCCCC=O,530
C=CCCCC=O,535
CCC=CCCCC=O,340
CCC=CCCCC=O,335
C=CCCCC=O,540
C=CCCCC=O,545
CCC=CCCCC=O,345
CCC=CCCCC=O,340
C=CCCCC=O,550
C=CCCCC=O,555
CCC=CCCCC=O,350
CCC=CCCCC=O,345
C=CCCCC=O,560
C=CCCCC=O,565
CCC=CCCCC=O,355
CCC=CCCCC=O,350
C=CCCCC=O,570
C=CCCCC=O,575
CCC=CCCCC=O,360
CCC=CCCCC=O,355
C=CCCCC=O,580
C=CCCCC=O,585
CCC=CCCCC=O,365
CCC=CCCCC=O,360
C=CCCCC=O,590
C=CCCCC=O,595
CCC=CCCCC=O,370
CCC=CCCCC=O,365
C=CCCCC=O,600
C=CCCCC=O,605
CCC=CCCCC=O,375
CCC=CCCCC=O,370
C=CCCCC=O,610
C=CCCCC=O,615
CCC=CCCCC=O,380
CCC=CCCCC=O,375
C=CCCCC=O,620
C=CCCCC=O,625
CCC=CCCCC=O,385
CCC=CCCCC=O,380
C=CCCCC=O,630
C=CCCCC=O,635
CCC=CCCCC=O,390
CCC=CCCCC=O,385
C=CCCCC=O,640
C=CCCCC=O,645
CCC=CCCCC=O,395
CCC=CCCCC=O,390
C=CCCCC=O,650
C=CCCCC=O,655
CCC=CCCCC=O,400
CCC=CCCCC=O,395
C=CCCCC=O,660
C=CCCCC=O,665
CCC=CCCCC=O,405
CCC=CCCCC=O,400
C=CCCCC=O,670
C=CCCCC=O,675
CCC=CCCCC=O,410
CCC=CCCCC=O,405
C=CCCCC=O,680
C=CCCCC=O,685
CCC=CCCCC=O,415
CCC=CCCCC=O,410
C=CCCCC=O,690
C=CCCCC=O,695
CCC=CCCCC=O,420
CCC=CCCCC=O,415
C=CCCCC=O,700
C=CCCCC=O,705
CCC=CCCCC=O,425
CCC=CCCCC=O,420
C=CCCCC=O,710
C=CCCCC=O,715
CCC=CCCCC=O,430
CCC=CCCCC=O,425
C=CCCCC=O,720
C=CCCCC=O,725
CCC=CCCCC=O,435
CCC=CCCCC=O,430
C=CCCCC=O,730
C=CCCCC=O,735
CCC=CCCCC=O,440
CCC=CCCCC=O,435
C=CCCCC=O,740
C=CCCCC=O,745
CCC=CCCCC=O,445
CCC=CCCCC=O,440
C=CCCCC=O,750
C=CCCCC=O,755
CCC=CCCCC=O,450
CCC=CCCCC=O,445
C=CCCCC=O,760
C=CCCCC=O,765
CCC=CCCCC=O,455
CCC=CCCCC=O,450
C=CCCCC=O,770
C=CCCCC=O,775
CCC=CCCCC=O,460
CCC=CCCCC=O,455
C=CCCCC=O,780
C=CCCCC=O,785
CCC=CCCCC=O,465
CCC=CCCCC=O,460
C=CCCCC=O,790
C=CCCCC=O,795
CCC=CCCCC=O,470
CCC=CCCCC=O,465
C=CCCCC=O,800
C=CCCCC=O,805
CCC=CCCCC=O,475
CCC=CCCCC=O,470
C=CCCCC=O,810
C=CCCCC=O,815
CCC=CCCCC=O,480
CCC=CCCCC=O,475
C=CCCCC=O,820
C=CCCCC=O,825
CCC=CCCCC=O,485
CCC=CCCCC=O,480
C=CCCCC=O,830
C=CCCCC=O,835
CCC=CCCCC=O,490
CCC=CCCCC=O,485
C=CCCCC=O,840
C=CCCCC=O,845
CCC=CCCCC=O,495
CCC=CCCCC=O,490
C=CCCCC=O,850
C=CCCCC=O,855
CCC=CCCCC=O,500
CCC=CCCCC=O,495
C=CCCCC=O,860
C=CCCCC=O,865
CCC=CCCCC=O,505
CCC=CCCCC=O,500
C=CCCCC=O,870
C=CCCCC=O,875
CCC=CCCCC=O,510
CCC=CCCCC=O,505
C=CCCCC=O,880
C=CCCCC=O,885
CCC=CCCCC=O,515
CCC=CCCCC=O,510
C=CCCCC=O,890
C=CCCCC=O,895
CCC=CCCCC=O,520
CCC=CCCCC=O,515
C=CCCCC=O,900
C=CCCCC=O,905
CCC=CCCCC=O,525
CCC=CCCCC=O,520
C=CCCCC=O,910
C=CCCCC=O,915
CCC=CCCCC=O,530
CCC=CCCCC=O,525
C=CCCCC=O,920
C=CCCCC=O,925
CCC=CCCCC=O,535
CCC=CCCCC=O,530
C=CCCCC=O,930
C=CCCCC=O,935
CCC=CCCCC=O,540
CCC=CCCCC=O,535
C=CCCCC=O,940
C=CCCCC=O,945
CCC=CCCCC=O,545
CCC=CCCCC=O,950
C=CCCCC=O,955
C=CCCCC=O,960
CCC=CCCCC=O,965
C=CCCCC=O,970
C=CCCCC=O,975
CCC=CCCCC=O,980
C=CCCCC=O,985
C=CCCCC=O,990
CCC=CCCCC=O,995
C=CCCCC=O,1000
C=CCCCC=O,1005
CCC=CCCCC=O,1010
C=CCCCC=O,1015
C=CCCCC=O,1020
CCC=CCCCC=O,1025
C=CCCCC=O,1030
C=CCCCC=O,1035
CCC=CCCCC=O,1040
C=CCCCC=O,1045
C=CCCCC=O,1050
CCC=CCCCC=O,1055
C=CCCCC=O,1060
C=CCCCC=O,1065
CCC=CCCCC=O,1070
C=CCCCC=O,1075
C=CCCCC=O,1080
CCC=CCCCC=O,1085
C=CCCCC=O,1090
C=CCCCC=O,1095
CCC=CCCCC=O,1100
C=CCCCC=O,1105
C=CCCCC=O,1110
CCC=CCCCC=O,1115
C=CCCCC=O,1120
C=CCCCC=O,1125
CCC=CCCCC=O,1130
C=CCCCC=O,1135
C=CCCCC=O,1140
CCC=CCCCC=O,1145
C=CCCCC=O,1150
C=CCCCC=O,1155
CCC=CCCCC=O,1160
C=CCCCC=O,1165
C=CCCCC=O,1170
CCC=CCCCC=O,1175
C=CCCCC=O,1180
C=CCCCC=O,1185
CCC=CCCCC=O,1190
C=CCCCC=O,1195
C=CCCCC=O,1200
CCC=CCCCC=O,1205
C=CCCCC=O,1210
C=CCCCC=O,1215
CCC=CCCCC=O,1220
C=CCCCC=O,1225
C=CCCCC=O,1230
CCC=CCCCC=O,1235
C=CCCCC=O,1240
C=CCCCC=O,1245
CCC=CCCCC=O,1250
C=CCCCC=O,1255
C=CCCCC=O,1260
CCC=CCCCC=O,1265
C=CCCCC=O,1270
C=CCCCC=O,1275
CCC=CCCCC=O,1280
C=CCCCC=O,1285
C=CCCCC=O,1290
CCC=CCCCC=O,1295
C=CCCCC=O,1300
C=CCCCC=O,1305
CCC=CCCCC=O,1310
C=CCCCC=O,1315
C=CCCCC=O,1320
CCC=CCCCC=O,1325
C=CCCCC=O,1330
C=CCCCC=O,1335
CCC=CCCCC=O,1340
C=CCCCC=O,1345
C=CCCCC=O,1350
CCC=CCCCC=O,1355
C=CCCCC=O,1360
C=CCCCC=O,1365
CCC=CCCCC=O,1370
C=CCCCC=O,1375
C=CCCCC=O,1380
CCC=CCCCC=O,1385
C=CCCCC=O,1390
C=CCCCC=O,1395
CCC=CCCCC=O,1400
C=CCCCC=O,1405
C=CCCCC=O,1410
CCC=CCCCC=O,1415
C=CCCCC=O,1420
C=CCCCC=O,1425
CCC=CCCCC=O,1430
C=CCCCC=O,1435
C=CCCCC=O,1440
CCC=CCCCC=O,1445
C=CCCCC=O,1450
C=CCCCC=O,1455
CCC=CCCCC=O,1460
C=CCCCC=O,1465
C=CCCCC=O,1470
CCC=CCCCC=O,1475
C=CCCCC=O,1480
C=CCCCC=O,1485
CCC=CCCCC=O,1490
C=CCCCC=O,1495
C=CCCCC=O,1500
CCC=CCCCC=O,1505
C=CCCCC=O,1510
C=CCCCC=O,1515
CCC=CCCCC=O,1520
C=CCCCC=O,1525
C=CCCCC=O,1530
CCC=CCCCC=O,1535
C=CCCCC=O,1540
C=CCCCC=O,1545
CCC=CCCCC=O,1550
C=CCCCC=O,1555
C=CCCCC=O,1560
CCC=CCCCC=O,1565
C=CCCCC=O,1570
C=CCCCC=O,1575
CCC=CCCCC=O,1580
C=CCCCC=O,1585
C=CCCCC=O,1590
CCC=CCCCC=O,1595
C=CCCCC=O,1600
C=CCCCC=O,1605
CCC=CCCCC=O,1610
C=CCCCC=O,1615
C=CCCCC=O,1620
CCC=CCCCC=O,1625
C=CCCCC=O,1630
C=CCCCC=O,1635
CCC=CCCCC=O,1640
C=CCCCC=O,1645
C=CCCCC=O,1650
CCC=CCCCC=O,1655
C=CCCCC=O,1660
C=CCCCC=O,1665
CCC=CCCCC=O,1670
C=CCCCC=O,1675
C=CCCCC=O,1680
CCC=CCCCC=O,1685
C=CCCCC=O,1690
C=CCCCC=O,1695
CCC=CCCCC=O,1700
C=CCCCC=O,1705
C=CCCCC=O,1710
CCC=CCCCC=O,1715
C=CCCCC=O,1720
C=CCCCC=O,1725
CCC=CCCCC=O,1730
C=CCCCC=O,1735
C=CCCCC=O,1740
CCC=CCCCC=O,1745
C=CCCCC=O,1750
C=CCCCC=O,1755
CCC=CCCCC=O,1760
C=CCCCC=O,1765
C=CCCCC=O,1770
CCC=CCCCC=O,1775
C=CCCCC=O,1780
C=CCCCC=O,1785
CCC=CCCCC=O,1790
C=CCCCC=O,1795
C=CCCCC=O,1800
CCC=CCCCC=O,1805
C=CCCCC=O,1810
C=CCCCC=O,1815
CCC=CCCCC=O,1820
C=CCCCC=O,1825
C=CCCCC=O,1830
CCC=CCCCC=O,1835
C=CCCCC=O,1840
C=CCCCC=O,1845
CCC=CCCCC=O,1850
C=CCCCC=O,1855
C=CCCCC=O,1860
CCC=CCCCC=O,1865
C=CCCCC=O,1870
C=CCCCC=O,1875
CCC=CCCCC=O,1880
C=CCCCC=O,1885
C=CCCCC=O,1890
CCC=CCCCC=O,1895
C=CCCCC=O,1900
C=CCCCC=O,1905
CCC=CCCCC=O,1910
C=CCCCC=O,1915
C=CCCCC=O,1920
CCC=CCCCC=O,1925
C=CCCCC=O,1930
C=CCCCC=O,1935
CCC=CCCCC=O,1940
C=CCCCC=O,1945
C=CCCCC=O,1950
CCC=CCCCC=O,1955
C=CCCCC=O,1960
C=CCCCC=O,1965
CCC=CCCCC=O,1970
C=CCCCC=O,1975
C=CCCCC=O,1980
CCC=CCCCC=O,1985
C=CCCCC=O,1990
C=CCCCC=O,1995
CCC=CCCCC=O,2000
C=CCCCC=O,2005
C=CCCCC=O,2010
CCC=CCCCC=O,2015
C=CCCCC=O,2020
C=CCCCC=O,2025
CCC=CCCCC=O,2030
C=CCCCC=O,2035
C=CCCCC=O,2040
CCC=CCCCC=O,2045
C=CCCCC=O,2050
C=CCCCC=O,2055
CCC=CCCCC=O,2060
C=CCCCC=O,2065
C=CCCCC=O,2070
CCC=CCCCC=O,2075
C=CCCCC=O,2080
C=CCCCC=O,2085
CCC=CCCCC=O,2090
C=CCCCC=O,2095
C=CCCCC=O,2100
CCC=CCCCC=O,2105
C=CCCCC=O,2110
C=CCCCC=O,2115
CCC=CCCCC=O,2120
C=CCCCC=O,2125
C=CCCCC=O,2130
CCC=CCCCC=O,2135
C=CCCCC=O,2140
C=CCCCC=O,2145
CCC=CCCCC=O,2150
C=CCCCC=O,2155
C=CCCCC=O,2160
CCC=CCCCC=O,2165
C=CCCCC=O,2170
C=CCCCC=O,2175
CCC=CCCCC=O,2180
C=CCCCC=O,2185
C=CCCCC=O,2190
CCC=CCCCC=O,2195
C=CCCCC=O,2200
C=CCCCC=O,2205
CCC=CCCCC=O,2210
C=CCCCC=O,2215
C=CCCCC=O,2220
CCC=CCCCC=O,2225
C=CCCCC=O,2230
C=CCCCC=O,2235
CCC=CCCCC=O,2240
C=CCCCC=O,2245
C=CCCCC=O,2250
CCC=CCCCC=O,2255
C=CCCCC=O,2260
C=CCCCC=O,2265
CCC=CCCCC=O,2270
C=CCCCC=O,2275
C=CCCCC=O,2280
CCC=CCCCC=O,2285
C=CCCCC=O,2290
C=CCCCC=O,2295
CCC=CCCCC=O,2300
C=CCCCC=O,2305
C=CCCCC=O,2310
CCC=CCCCC=O,2315
C=CCCCC=O,2320
C=CCCCC=O,2325
CCC=CCCCC=O,2330
C=CCCCC=O,2335
C=CCCCC=O,2340
CCC=CCCCC=O,2345
C=CCCCC=O,2350
C=CCCCC=O,2355
CCC=CCCCC=O,2360
C=CCCCC=O,2365
C=CCCCC=O,2370
CCC=CCCCC=O,2375
C=CCCCC=O,2380
C=CCCCC=O,2385
CCC=CCCCC=O,2390
C=CCCCC=O,2395
C=CCCCC=O,2400
CCC=CCCCC=O,2405
C=CCCCC=O,2410
C=CCCCC=O,2415
CCC=CCCCC=O,2420
C=CCCCC=O,2425
C=CCCCC=O,2430
CCC=CCCCC=O,2435
C=CCCCC=O,2440
